TotalGHGEmissions,SiteEnergyUseWN(kBtu),log-SiteEnergyUseWN(kBtu),log-TotalGHGEmissions
249.43,7097539.0,15.775258803100632,5.523179440356211
263.51,8765788.0,15.986367089399694,5.577879057767046
2061.48,75506272.0,18.13972629686051,7.631664421192123
507.7,15078243.0,16.528763468140426,6.231858451828719
208.46,6477493.0,15.683844265134685,5.344532790344999
331.61,13589025.0,16.424773113213043,5.80697063245237
170.0,5203458.0,15.464834154717007,5.14166355650266
576.63,15615929.0,16.563802105042996,6.358933525288002
723.4,27970822.0,17.146672489128523,6.585343726009258
334.87,6292213.0,15.654823554025032,5.81672418033434
675.34,22811690.0,16.94278372566446,6.516695908181574
486.25,11329230.0,16.242896757796924,6.18877733838767
755.12,33922016.0,17.339574830563492,6.628200093741964
411.22,7816594.0,15.871759595702926,6.0215571874151514
1596.08,55378956.0,17.82971024201583,7.375932240886465
35.17,1716043.0,14.35553219972696,3.5882300459640066
102.08,3848493.0,15.163192460906314,4.635505385784164
319.73,11178456.0,16.229499001855107,5.770599647693518
244.51,8131874.0,15.911302082239878,5.5033376796025575
125.57,4341706.0,15.2837781467197,4.840795514804357
260.37,8362498.0,15.939267863837149,5.565937027962764
10.27,1682521.0,14.335804416195622,2.422144328051685
243.37,7677473.0,15.853801144772332,5.498683470172258
3.71,319916.0,12.675816866132397,1.5496879080283263
333.54,46313516.0,17.650944420293644,5.812756453883862
28.78,1842702.0,14.426744073367429,3.393837027255863
258.67,8317888.0,15.933919054641976,5.5594115940907205
123.08,6605535.0,15.70341864328948,4.8209265188682835
56.97,2192109.0,14.600375108272697,4.059925635351641
251.72,8596269.0,15.966838946209375,5.53228215649383
263.85,15660628.0,16.566660413748394,5.5791636279905354
64.23,9213841.0,16.036217476512437,4.177919485808005
112.06,3379678.0,15.033291292535026,4.727918651247145
77.8,6534220.0,15.692563693650444,4.366912996863833
2846.07,88771488.0,18.30157608658863,7.9540456742606365
126.83,5040382.0,15.432992629223794,4.8507012561799305
209.92,6240104.0,15.646507567127117,5.351478914662269
120.73,5160438.0,15.456532211358239,4.801805477421505
191.58,6921805.0,15.750187276202762,5.260511651812138
170.01,6169676.0,15.63515704443022,5.141722034324962
156.59,6855303.0,15.740533217187075,5.05999672363398
139.62,4055974.0,15.215701660526074,4.946061216771016
169.49,5306165.0,15.4843800985278,5.13867664397714
85.51,3921971.0,15.182105146498259,4.460260014192283
1858.84,50629892.0,17.74005273057234,7.5282457415018085
602.0,16886622.0,16.64203232799979,6.401917196727186
74.04,4045411.0,15.213093957428862,4.318021304697969
563.78,19858448.0,16.80414011685486,6.336436274787184
255.64,7192445.0,15.78854186655901,5.54767432467815
39.69,1383366.0,14.14003094059202,3.7059823620135983
131.03,13429220.0,16.412943562349486,4.88302916949111
509.18,20123722.0,16.8174099258395,6.234763604625756
636.96,41683652.0,17.545619595522812,6.458275585454554
634.03,38835684.0,17.474850098408275,6.453672241871213
45.83,3402840.0,15.040121228912184,3.8465240231954505
138.68,5249742.0,15.473689680988647,4.939354092091292
196.34,5717357.0,15.559017368540921,5.28492812942902
25.2,2001478.0,14.50939696522882,3.265759410767051
63.95,2385958.0,14.68511169792153,4.173617743116608
229.98,7540875.0,15.835848913607075,5.442331126686941
30.95,4640342.0,15.350298843884104,3.4641721808235437
14.99,2473493.0,14.721142283934405,2.771963526845863
211.49,7508759.0,15.831580896925212,5.358894928433641
15.1,1711759.0,14.353032638940833,2.7788192719904172
97.38,3718511.0,15.12883414622799,4.588837531367194
138.87,3864699.0,15.16739461732745,4.940713419791213
127.52,4362064.0,15.288456127054053,4.856084534247658
377.09,12104908.0,16.30912163077131,5.93513226251751
88.4,3326526.0,15.01743937477025,4.493120682179469
14.17,2255184.0,14.628742567465135,2.719319793360441
150.23,6935723.0,15.752196004263233,5.018801856762649
1874.42,66980332.0,18.019909596951297,7.536587913320257
11.24,1832205.0,14.421031263309548,2.50470927708418
208.03,7753080.0,15.863600870715203,5.342477782333691
181.93,10429328.0,16.160132491254533,5.209103566003207
366.61,16067596.0,16.59231519324063,5.907022593593569
53.45,2763750.0,14.832099372980956,3.9972828493789696
39.29,2455369.0,14.713788020685678,3.696103299203256
82.55,3804876.0,15.151794222868439,4.425445255041403
123.02,5103262.0,15.445390697028852,4.820442842921731
202.97,9730278.0,16.090753127954585,5.317972924206478
49.08,2234095.0,14.619347229935093,3.913621726791843
53.27,3603241.0,15.097344553725026,3.9939715880753135
765.56,30468608.0,17.232207498459378,6.641912973134812
65.14,8450011.0,15.949678419450692,4.191773707553646
8046.7,255669168.0,19.359394858099225,8.993141615302791
80.49,3229387.0,14.987803203562223,4.400480313332128
119.09,9715644.0,16.08924803076686,4.788241461672592
282.34,8829066.0,15.993559904483309,5.646647589951205
177.1,6165405.0,15.634464548048854,5.182345190295616
52.94,2060926.0,14.538666439546128,3.987872317711584
294.12,10298198.0,16.147479583542125,5.68738205328842
212.02,7361706.0,15.811802393161432,5.36138605801502
320.35,9449743.0,16.061498209155896,5.772530871817295
32.75,2785857.0,14.840066462891546,3.518980417318539
368.63,10315565.0,16.149164574528392,5.912502505304687
271.32,14356216.0,16.47969364676649,5.60697784538501
62.2,2458535.0,14.715076608801969,4.146304301152812
178.5,6929738.0,15.75133270811918,5.190175207928333
42.8,2304835.0,14.650520082207008,3.7796338173824005
56.96,4378534.0,15.292224751517583,4.059753117452481
289.43,9362176.0,16.052188406880052,5.67136258340009
314.26,11474804.0,16.25566432030244,5.753397695198396
44.06,2599890.0,14.77098007903599,3.8079949350040985
166.73,10026737.0,16.1207658827142,5.1223555437066635
17.86,1444495.0,14.183271029760329,2.937043277205311
206.3,6075196.0,15.61972497464865,5.334167019441734
8.56,1440992.0,14.180843017232178,2.25758772706331
138.96,2933003.0,14.891537711749997,4.9413566674994875
26.55,1599245.0,14.28504282613683,3.3160025355989236
402.03,13484454.0,16.417048098463017,5.999011000863383
12.46,1786986.0,14.396041519352933,2.599722324216582
